image,text,sym_num_dice,sym_values,sym_colours,sym_sizes
sample_00062.png,"This picture contains a medium purple die showing four, a small yellow die showing one and a medium white die showing two.",3,4 1 2,purple yellow white,medium small medium
sample_00063.png,There are a small yellow die showing three and a large yellow die showing five in the scene.,2,3 5,yellow yellow,small large
sample_00064.png,"This picture contains a medium red die showing four, a large peach die showing four and a medium purple die showing three.",3,4 4 3,red peach purple,medium large medium
sample_00065.png,"This picture contains a medium purple die showing six, a small purple die showing four and a medium blue die showing one.",3,6 4 1,purple purple blue,medium small medium
sample_00066.png,"There are a medium green die showing one, a small purple die showing two and a small red die showing three in the scene.",3,1 2 3,green purple red,medium small small
sample_00067.png,"There are a large peach die showing three, a large blue die showing three and a large blue die showing six in the scene.",3,3 3 6,peach blue blue,large large large
sample_00071.png,A large red die is shown with a value of three.,1,3,red,large
sample_00072.png,There are a medium yellow die showing four and a large green die showing six in the scene.,2,4 6,yellow green,medium large
sample_00074.png,A medium purple die is shown with a value of three.,1,3,purple,medium
sample_00076.png,The scene contains a medium purple die showing two and a small green die showing three.,2,2 3,purple green,medium small
sample_00077.png,"The image shows a medium blue die showing four, a small peach die showing five and a small blue die showing six.",3,4 5 6,blue peach blue,medium small small
sample_00078.png,There is one large green die showing six.,1,6,green,large
sample_00079.png,"There are a large green die showing six, a medium yellow die showing two and a small peach die showing three in the scene.",3,6 2 3,green yellow peach,large medium small
sample_00081.png,This picture contains a large yellow die showing three and a large green die showing five.,2,3 5,yellow green,large large
sample_00082.png,"The scene contains a small green die showing six, a large blue die showing three and a small peach die showing four.",3,6 3 4,green blue peach,small large small
sample_00087.png,This picture contains a small red die displaying one.,1,1,red,small
sample_00088.png,"There are a small green die showing one, a medium green die showing three and a small purple die showing five in the scene.",3,1 3 5,green green purple,small medium small
sample_00089.png,A medium purple die is shown with a value of four.,1,4,purple,medium
sample_00090.png,There are a small peach die showing six and a large white die showing four in the scene.,2,6 4,peach white,small large
sample_00092.png,"The image shows a medium purple die showing two, a medium yellow die showing three and a small peach die showing two.",3,2 3 2,purple yellow peach,medium medium small
sample_00093.png,"A scene with 2 large white dice is shown, displaying two and five.",2,2 5,white white,large large
sample_00094.png,This picture contains a medium red die showing two and a large peach die showing five.,2,2 5,red peach,medium large
sample_00095.png,"The image shows a large red die showing one, a large green die showing one and a large blue die showing three.",3,1 1 3,red green blue,large large large
sample_00096.png,This picture contains a small white die displaying three.,1,3,white,small
sample_00097.png,"There are a medium white die showing five, a large red die showing two and a small peach die showing four in the scene.",3,5 2 4,white red peach,medium large small
sample_00099.png,The image shows a medium peach die showing two and a small peach die showing two.,2,2 2,peach peach,medium small
sample_00100.png,This picture contains a large peach die showing four and a large blue die showing six.,2,4 6,peach blue,large large
sample_00102.png,A small white die is shown with a value of four.,1,4,white,small
sample_00103.png,This picture contains a small red die displaying two.,1,2,red,small
sample_00104.png,A medium green die is shown with a value of six.,1,6,green,medium
sample_00105.png,The image shows one small red die with value two.,1,2,red,small
sample_00106.png,This picture contains a medium purple die showing six and a large red die showing two.,2,6 2,purple red,medium large
sample_00109.png,The image shows one large blue die with value two.,1,2,blue,large
sample_00116.png,This picture contains a large blue die showing six and a small purple die showing four.,2,6 4,blue purple,large small
sample_00117.png,There is one large peach die showing six.,1,6,peach,large
sample_00118.png,There are a large purple die showing one and a small red die showing six in the scene.,2,1 6,purple red,large small
sample_00119.png,"The scene contains a medium peach die showing two, a large yellow die showing five and a medium purple die showing five.",3,2 5 5,peach yellow purple,medium large medium
sample_00120.png,The image shows a small blue die showing six and a large white die showing five.,2,6 5,blue white,small large
sample_00121.png,A small green die is shown with a value of one.,1,1,green,small
sample_00122.png,"This picture contains a large green die showing four, a medium purple die showing six and a small green die showing four.",3,4 6 4,green purple green,large medium small
sample_00123.png,There is one medium peach die showing five.,1,5,peach,medium
sample_00124.png,This picture contains a small blue die showing three and a small green die showing three.,2,3 3,blue green,small small
sample_00125.png,The scene contains a medium yellow die showing five and a medium green die showing three.,2,5 3,yellow green,medium medium
sample_00126.png,"The scene contains a medium green die showing six, a large red die showing five and a small green die showing four.",3,6 5 4,green red green,medium large small
sample_00127.png,"The scene contains a medium yellow die showing one, a small red die showing one and a small white die showing six.",3,1 1 6,yellow red white,medium small small
sample_00128.png,This picture contains a small white die showing one and a medium yellow die showing one.,2,1 1,white yellow,small medium
sample_00130.png,"The image shows a medium blue die showing five, a large white die showing four and a medium blue die showing one.",3,5 4 1,blue white blue,medium large medium
sample_00131.png,This picture contains a medium green die displaying one.,1,1,green,medium
sample_00132.png,"There are a large blue die showing five, a small white die showing five and a small green die showing one in the scene.",3,5 5 1,blue white green,large small small
sample_00135.png,"This picture contains a small purple die showing six, a small yellow die showing five and a large yellow die showing six.",3,6 5 6,purple yellow yellow,small small large
sample_00136.png,The scene contains a medium purple die showing six and a medium white die showing six.,2,6 6,purple white,medium medium
sample_00138.png,This picture contains a medium peach die showing two and a large white die showing three.,2,2 3,peach white,medium large
sample_00139.png,The image shows a medium yellow die showing one and a small purple die showing three.,2,1 3,yellow purple,medium small
sample_00140.png,The image shows a medium yellow die showing four and a large white die showing five.,2,4 5,yellow white,medium large
sample_00141.png,"This picture contains a large green die showing five, a medium green die showing three and a small purple die showing three.",3,5 3 3,green green purple,large medium small
sample_00142.png,The image shows one large yellow die with value five.,1,5,yellow,large
sample_00143.png,There is one small purple die showing two.,1,2,purple,small
sample_00144.png,"The image shows a small red die showing three, a medium white die showing four and a small green die showing three.",3,3 4 3,red white green,small medium small
sample_00145.png,This picture contains a large blue die showing one and a small white die showing one.,2,1 1,blue white,large small
sample_00146.png,This picture contains a large blue die showing six and a small peach die showing two.,2,6 2,blue peach,large small
sample_00147.png,This picture contains a small green die displaying three.,1,3,green,small
sample_00149.png,"There are a medium blue die showing five, a small peach die showing two and a small red die showing five in the scene.",3,5 2 5,blue peach red,medium small small
sample_00152.png,"The image shows a medium blue die showing one, a small green die showing two and a large yellow die showing one.",3,1 2 1,blue green yellow,medium small large
sample_00153.png,The scene contains a small green die showing five and a large red die showing two.,2,5 2,green red,small large
sample_00154.png,There are a small white die showing four and a small blue die showing five in the scene.,2,4 5,white blue,small small
sample_00155.png,"There are a small white die showing four, a large white die showing two and a small blue die showing four in the scene.",3,4 2 4,white white blue,small large small
sample_00156.png,The image shows a medium white die showing two and a small white die showing two.,2,2 2,white white,medium small
sample_00157.png,"This picture contains a medium red die showing six, a small yellow die showing two and a small green die showing five.",3,6 2 5,red yellow green,medium small small
sample_00158.png,"This picture contains a medium white die showing four, a medium white die showing two and a medium red die showing five.",3,4 2 5,white white red,medium medium medium
sample_00162.png,A medium purple die is shown with a value of six.,1,6,purple,medium
sample_00164.png,A large peach die is shown with a value of one.,1,1,peach,large
sample_00165.png,The image shows a medium red die showing two and a small red die showing six.,2,2 6,red red,medium small
sample_00166.png,The image shows a small white die showing one and a medium blue die showing four.,2,1 4,white blue,small medium
sample_00167.png,A small peach die is shown with a value of five.,1,5,peach,small
sample_00168.png,"The scene contains a small purple die showing four, a medium blue die showing three and a large blue die showing three.",3,4 3 3,purple blue blue,small medium large
sample_00169.png,"There are a small yellow die showing six, a small green die showing six and a large purple die showing four in the scene.",3,6 6 4,yellow green purple,small small large
sample_00170.png,The image shows one medium white die with value four.,1,4,white,medium
sample_00171.png,"The scene contains a small green die showing one, a large peach die showing two and a medium blue die showing three.",3,1 2 3,green peach blue,small large medium
sample_00172.png,This picture contains a small white die showing one and a medium white die showing three.,2,1 3,white white,small medium
sample_00174.png,"There are a large yellow die showing six, a large blue die showing six and a small blue die showing one in the scene.",3,6 6 1,yellow blue blue,large large small
sample_00175.png,This picture contains a medium yellow die showing four and a medium purple die showing one.,2,4 1,yellow purple,medium medium
sample_00176.png,"The image shows a large red die showing four, a small red die showing three and a large peach die showing two.",3,4 3 2,red red peach,large small large
sample_00177.png,This picture contains a small white die showing one and a medium white die showing one.,2,1 1,white white,small medium
sample_00179.png,The image shows one small white die with value six.,1,6,white,small
sample_00180.png,"There are a small white die showing two, a small yellow die showing six and a small blue die showing two in the scene.",3,2 6 2,white yellow blue,small small small
sample_00182.png,A medium peach die is shown with a value of three.,1,3,peach,medium
sample_00183.png,This picture contains a small purple die displaying three.,1,3,purple,small
sample_00186.png,"The scene contains a small green die showing two, a medium purple die showing six and a medium green die showing five.",3,2 6 5,green purple green,small medium medium
sample_00187.png,"This picture contains a medium yellow die showing six, a small white die showing five and a large yellow die showing six.",3,6 5 6,yellow white yellow,medium small large
sample_00189.png,The image shows one large blue die with value one.,1,1,blue,large
sample_00191.png,"There are a large green die showing three, a large yellow die showing one and a small green die showing four in the scene.",3,3 1 4,green yellow green,large large small
sample_00192.png,"This picture contains a medium green die showing six, a small blue die showing one and a medium blue die showing four.",3,6 1 4,green blue blue,medium small medium
sample_00193.png,There is one medium red die showing one.,1,1,red,medium
sample_00194.png,This picture contains a large blue die showing four and a small purple die showing five.,2,4 5,blue purple,large small
sample_00195.png,The image shows a small red die showing six and a small blue die showing four.,2,6 4,red blue,small small
sample_00196.png,There are a large peach die showing three and a large blue die showing six in the scene.,2,3 6,peach blue,large large
sample_00197.png,There is one small green die showing six.,1,6,green,small
sample_00199.png,There are a small yellow die showing four and a small peach die showing five in the scene.,2,4 5,yellow peach,small small
sample_00200.png,A large peach die is shown with a value of four.,1,4,peach,large
sample_00201.png,There is one large red die showing five.,1,5,red,large
sample_00202.png,The image shows a small yellow die showing six and a small white die showing three.,2,6 3,yellow white,small small
sample_00204.png,There is one small yellow die showing six.,1,6,yellow,small
sample_00205.png,This picture contains a small peach die displaying two.,1,2,peach,small
sample_00206.png,"There are a medium green die showing one, a small peach die showing two and a medium yellow die showing two in the scene.",3,1 2 2,green peach yellow,medium small medium
sample_00207.png,The image shows a large blue die showing four and a small blue die showing six.,2,4 6,blue blue,large small
sample_00208.png,"There are a small red die showing four, a small white die showing six and a medium blue die showing three in the scene.",3,4 6 3,red white blue,small small medium
sample_00209.png,There is one small white die showing three.,1,3,white,small
sample_00210.png,This picture contains a large green die showing two and a medium red die showing three.,2,2 3,green red,large medium
sample_00211.png,There is one large white die showing six.,1,6,white,large
sample_00212.png,A large white die is shown with a value of one.,1,1,white,large
sample_00213.png,"The image shows a small purple die showing three, a small white die showing four and a small blue die showing six.",3,3 4 6,purple white blue,small small small
sample_00214.png,The image shows a small red die showing five and a large green die showing one.,2,5 1,red green,small large
sample_00216.png,There are a large red die showing six and a small purple die showing three in the scene.,2,6 3,red purple,large small
sample_00217.png,There is one medium purple die showing two.,1,2,purple,medium
sample_00218.png,The image shows a large blue die showing two and a medium blue die showing three.,2,2 3,blue blue,large medium
sample_00220.png,"The image shows a medium yellow die showing one, a medium peach die showing four and a small peach die showing four.",3,1 4 4,yellow peach peach,medium medium small
sample_00221.png,The image shows a large green die showing three and a small blue die showing one.,2,3 1,green blue,large small
sample_00223.png,The scene contains a small blue die showing six and a medium yellow die showing one.,2,6 1,blue yellow,small medium
sample_00224.png,The image shows one large purple die with value two.,1,2,purple,large
sample_00226.png,This picture contains a medium blue die showing one and a small green die showing one.,2,1 1,blue green,medium small
sample_00227.png,The scene contains a small blue die showing four and a large purple die showing three.,2,4 3,blue purple,small large
sample_00228.png,A large purple die is shown with a value of six.,1,6,purple,large
sample_00229.png,The image shows one large yellow die with value three.,1,3,yellow,large
sample_00230.png,This picture contains a medium yellow die showing six and a large blue die showing six.,2,6 6,yellow blue,medium large
sample_00231.png,This picture contains a large blue die displaying six.,1,6,blue,large
sample_00232.png,A medium white die is shown with a value of six.,1,6,white,medium
sample_00233.png,"The image shows a small white die showing four, a small yellow die showing four and a large blue die showing one.",3,4 4 1,white yellow blue,small small large
sample_00234.png,"This picture contains a small white die showing two, a small purple die showing one and a small purple die showing five.",3,2 1 5,white purple purple,small small small
sample_00235.png,"The image shows a medium green die showing five, a small green die showing two and a large purple die showing one.",3,5 2 1,green green purple,medium small large
sample_00236.png,"The scene contains a small green die showing six, a small blue die showing one and a medium purple die showing five.",3,6 1 5,green blue purple,small small medium
sample_00237.png,"The scene contains a large purple die showing five, a medium purple die showing four and a small white die showing six.",3,5 4 6,purple purple white,large medium small
sample_00240.png,A large purple die is shown with a value of three.,1,3,purple,large
sample_00241.png,"This picture contains a medium blue die showing six, a large red die showing five and a small green die showing five.",3,6 5 5,blue red green,medium large small
sample_00243.png,The image shows a medium peach die showing one and a large peach die showing six.,2,1 6,peach peach,medium large
sample_00245.png,The image shows one large purple die with value four.,1,4,purple,large
sample_00248.png,The scene contains a medium peach die showing two and a large blue die showing four.,2,2 4,peach blue,medium large
sample_00249.png,The image shows one small red die with value four.,1,4,red,small
sample_00252.png,This picture contains a medium peach die showing six and a small yellow die showing three.,2,6 3,peach yellow,medium small
sample_00253.png,The scene contains a small blue die showing one and a medium white die showing four.,2,1 4,blue white,small medium
sample_00254.png,The image shows a medium white die showing three and a medium green die showing four.,2,3 4,white green,medium medium
sample_00255.png,"This picture contains a medium green die showing two, a large blue die showing six and a large blue die showing four.",3,2 6 4,green blue blue,medium large large
sample_00258.png,The scene contains a medium peach die showing four and a medium white die showing six.,2,4 6,peach white,medium medium
sample_00260.png,"This picture contains a medium purple die showing four, a large blue die showing three and a small yellow die showing four.",3,4 3 4,purple blue yellow,medium large small
sample_00261.png,There are a small red die showing three and a large white die showing six in the scene.,2,3 6,red white,small large
sample_00262.png,"The scene contains a medium blue die showing five, a large green die showing three and a small peach die showing five.",3,5 3 5,blue green peach,medium large small
sample_00263.png,The scene contains a medium red die showing one and a large red die showing one.,2,1 1,red red,medium large
sample_00264.png,This picture contains a medium purple die displaying one.,1,1,purple,medium
sample_00265.png,"This picture contains a small green die showing one, a large peach die showing three and a medium red die showing six.",3,1 3 6,green peach red,small large medium
sample_00268.png,There are a large peach die showing two and a large red die showing three in the scene.,2,2 3,peach red,large large
sample_00269.png,A small white die is shown with a value of three.,1,3,white,small
sample_00271.png,A medium peach die is shown with a value of four.,1,4,peach,medium
sample_00272.png,A large white die is shown with a value of six.,1,6,white,large
sample_00273.png,The image shows one small yellow die with value two.,1,2,yellow,small
sample_00274.png,"This picture contains a small yellow die showing six, a medium green die showing three and a small peach die showing three.",3,6 3 3,yellow green peach,small medium small
sample_00275.png,The image shows one large white die with value four.,1,4,white,large
sample_00276.png,A small red die is shown with a value of three.,1,3,red,small
sample_00277.png,"There are a small green die showing six, a medium green die showing one and a large blue die showing three in the scene.",3,6 1 3,green green blue,small medium large
sample_00278.png,"The scene contains a large blue die showing one, a medium red die showing two and a medium purple die showing two.",3,1 2 2,blue red purple,large medium medium
sample_00281.png,"The image shows a medium peach die showing six, a medium blue die showing three and a large blue die showing two.",3,6 3 2,peach blue blue,medium medium large
sample_00283.png,This picture contains 2 large white dice displaying two and five.,2,2 5,white white,large large
sample_00284.png,"The image shows a medium purple die showing five, a small peach die showing three and a small blue die showing four.",3,5 3 4,purple peach blue,medium small small
sample_00285.png,"The scene contains a medium blue die showing two, a small white die showing one and a large blue die showing six.",3,2 1 6,blue white blue,medium small large
sample_00286.png,"The scene contains a small blue die showing five, a large peach die showing six and a small blue die showing two.",3,5 6 2,blue peach blue,small large small
sample_00287.png,This picture contains a large blue die displaying five.,1,5,blue,large
sample_00288.png,A large yellow die is shown with a value of six.,1,6,yellow,large
sample_00290.png,The scene contains a medium yellow die showing five and a small red die showing five.,2,5 5,yellow red,medium small
sample_00292.png,"The scene contains a medium peach die showing six, a large red die showing six and a small green die showing five.",3,6 6 5,peach red green,medium large small
sample_00293.png,"The scene contains a large blue die showing three, a small yellow die showing one and a large blue die showing six.",3,3 1 6,blue yellow blue,large small large
sample_00295.png,This picture contains a small white die displaying five.,1,5,white,small
sample_00296.png,The image shows one medium yellow die with value six.,1,6,yellow,medium
sample_00298.png,The scene contains a medium red die showing two and a small red die showing three.,2,2 3,red red,medium small
sample_00299.png,"There are a large yellow die showing five, a large yellow die showing five and a small green die showing six in the scene.",3,5 5 6,yellow yellow green,large large small
sample_00300.png,"There are a medium yellow die showing three, a medium white die showing six and a small white die showing one in the scene.",3,3 6 1,yellow white white,medium medium small
sample_00302.png,The scene contains a medium purple die showing one and a small peach die showing two.,2,1 2,purple peach,medium small
sample_00303.png,"This picture contains a large purple die showing four, a small red die showing two and a small white die showing six.",3,4 2 6,purple red white,large small small
sample_00304.png,The image shows a small green die showing five and a medium purple die showing three.,2,5 3,green purple,small medium
sample_00305.png,There is one small green die showing three.,1,3,green,small
sample_00306.png,"There are a medium purple die showing two, a small green die showing three and a small white die showing six in the scene.",3,2 3 6,purple green white,medium small small
sample_00307.png,The image shows a large peach die showing five and a small red die showing one.,2,5 1,peach red,large small
sample_00308.png,"This picture contains a medium green die showing three, a large green die showing three and a medium red die showing six.",3,3 3 6,green green red,medium large medium
sample_00309.png,The image shows a small red die showing six and a medium green die showing three.,2,6 3,red green,small medium
sample_00310.png,"This picture contains a medium white die showing four, a large purple die showing two and a large red die showing four.",3,4 2 4,white purple red,medium large large
sample_00311.png,A medium green die is shown with a value of two.,1,2,green,medium
sample_00312.png,The image shows a medium purple die showing one and a medium yellow die showing four.,2,1 4,purple yellow,medium medium
sample_00315.png,The scene contains a large white die showing four and a medium purple die showing four.,2,4 4,white purple,large medium
sample_00316.png,The image shows one small red die with value one.,1,1,red,small
sample_00317.png,This picture contains a large white die displaying six.,1,6,white,large
sample_00319.png,"This picture contains a small green die showing six, a small red die showing five and a small yellow die showing one.",3,6 5 1,green red yellow,small small small
sample_00320.png,"There are a medium green die showing five, a small yellow die showing three and a medium purple die showing five in the scene.",3,5 3 5,green yellow purple,medium small medium
sample_00321.png,"There are a medium red die showing two, a large purple die showing six and a large purple die showing three in the scene.",3,2 6 3,red purple purple,medium large large
sample_00322.png,There are a medium blue die showing four and a large yellow die showing six in the scene.,2,4 6,blue yellow,medium large
sample_00323.png,"The scene contains a medium yellow die showing five, a small green die showing three and a medium red die showing five.",3,5 3 5,yellow green red,medium small medium
sample_00324.png,"The image shows a large peach die showing five, a medium white die showing three and a small purple die showing two.",3,5 3 2,peach white purple,large medium small
sample_00325.png,This picture contains a large yellow die displaying one.,1,1,yellow,large
sample_00328.png,There is one large yellow die showing six.,1,6,yellow,large
sample_00329.png,This picture contains a large yellow die showing one and a large blue die showing six.,2,1 6,yellow blue,large large
sample_00330.png,The image shows a medium yellow die showing five and a small blue die showing four.,2,5 4,yellow blue,medium small
sample_00332.png,There are a small yellow die showing two and a small purple die showing five in the scene.,2,2 5,yellow purple,small small
sample_00333.png,This picture contains a large yellow die showing two and a large peach die showing six.,2,2 6,yellow peach,large large
sample_00338.png,"This picture contains a large purple die showing three, a small peach die showing five and a medium purple die showing two.",3,3 5 2,purple peach purple,large small medium
sample_00340.png,This picture contains a small purple die showing four and a large green die showing one.,2,4 1,purple green,small large
sample_00342.png,"There are a small red die showing five, a large green die showing six and a medium green die showing five in the scene.",3,5 6 5,red green green,small large medium
sample_00343.png,"This picture contains a small yellow die showing four, a small purple die showing four and a large purple die showing six.",3,4 4 6,yellow purple purple,small small large
sample_00344.png,"The image shows a medium purple die showing three, a small blue die showing four and a small peach die showing two.",3,3 4 2,purple blue peach,medium small small
sample_00345.png,"There are a large green die showing two, a large purple die showing three and a medium white die showing three in the scene.",3,2 3 3,green purple white,large large medium
sample_00346.png,"The scene contains a large purple die showing three, a small yellow die showing one and a medium blue die showing three.",3,3 1 3,purple yellow blue,large small medium
sample_00347.png,A small red die is shown with a value of four.,1,4,red,small
sample_00348.png,There is one medium white die showing one.,1,1,white,medium
sample_00350.png,The image shows one medium red die with value one.,1,1,red,medium
sample_00352.png,This picture contains a medium purple die displaying six.,1,6,purple,medium
sample_00353.png,The image shows a medium peach die showing three and a large blue die showing four.,2,3 4,peach blue,medium large
sample_00354.png,The image shows a large white die showing five and a medium purple die showing six.,2,5 6,white purple,large medium
sample_00356.png,"The image shows a large green die showing five, a medium white die showing four and a large green die showing three.",3,5 4 3,green white green,large medium large
sample_00357.png,"This picture contains a medium green die showing three, a small yellow die showing two and a large green die showing two.",3,3 2 2,green yellow green,medium small large
sample_00359.png,The image shows a medium white die showing six and a large red die showing one.,2,6 1,white red,medium large
sample_00360.png,There is one medium purple die showing two.,1,2,purple,medium
sample_00361.png,"The scene contains a large peach die showing five, a small blue die showing six and a small blue die showing one.",3,5 6 1,peach blue blue,large small small
sample_00362.png,This picture contains a small yellow die displaying three.,1,3,yellow,small
sample_00363.png,This picture contains a small peach die displaying two.,1,2,peach,small
sample_00364.png,"The scene contains a medium purple die showing four, a small white die showing two and a large green die showing four.",3,4 2 4,purple white green,medium small large
sample_00368.png,The image shows one small green die with value four.,1,4,green,small
sample_00369.png,There is one medium blue die showing six.,1,6,blue,medium
sample_00370.png,"This picture contains a medium green die showing four, a large peach die showing two and a small peach die showing six.",3,4 2 6,green peach peach,medium large small
sample_00371.png,The image shows one large blue die with value three.,1,3,blue,large
sample_00372.png,There is one small purple die showing two.,1,2,purple,small
sample_00374.png,The image shows one medium white die with value six.,1,6,white,medium
sample_00375.png,"This picture contains a medium yellow die showing four, a small green die showing six and a large red die showing six.",3,4 6 6,yellow green red,medium small large
sample_00378.png,"The image shows a medium yellow die showing six, a small green die showing two and a large blue die showing one.",3,6 2 1,yellow green blue,medium small large
sample_00379.png,"This picture contains a small green die showing four, a medium red die showing two and a large yellow die showing three.",3,4 2 3,green red yellow,small medium large
sample_00381.png,A medium yellow die is shown with a value of three.,1,3,yellow,medium
sample_00382.png,There are a large red die showing three and a medium green die showing two in the scene.,2,3 2,red green,large medium
sample_00383.png,There is one medium green die showing six.,1,6,green,medium
sample_00384.png,"The image shows a small red die showing six, a medium red die showing two and a medium purple die showing one.",3,6 2 1,red red purple,small medium medium
sample_00385.png,The scene contains a medium yellow die showing five and a large green die showing five.,2,5 5,yellow green,medium large
sample_00386.png,"This picture contains a small red die showing five, a small red die showing one and a small peach die showing six.",3,5 1 6,red red peach,small small small
sample_00387.png,"This picture contains a large yellow die showing two, a medium purple die showing four and a small white die showing four.",3,2 4 4,yellow purple white,large medium small
sample_00388.png,"The image shows a medium purple die showing four, a large green die showing two and a large peach die showing one.",3,4 2 1,purple green peach,medium large large
sample_00389.png,"This picture contains a large red die showing six, a medium green die showing six and a small yellow die showing one.",3,6 6 1,red green yellow,large medium small
sample_00390.png,"This picture contains a small blue die showing one, a medium white die showing five and a small green die showing five.",3,1 5 5,blue white green,small medium small
sample_00391.png,"The scene contains a small white die showing six, a small yellow die showing five and a large peach die showing two.",3,6 5 2,white yellow peach,small small large
sample_00392.png,A large peach die is shown with a value of one.,1,1,peach,large
sample_00393.png,The image shows one small green die with value four.,1,4,green,small
sample_00394.png,"This picture contains a small yellow die showing three, a small peach die showing six and a large green die showing six.",3,3 6 6,yellow peach green,small small large
sample_00396.png,"The image shows a large blue die showing six, a large red die showing five and a medium peach die showing five.",3,6 5 5,blue red peach,large large medium
sample_00397.png,"The scene contains a large green die showing six, a small peach die showing four and a medium blue die showing three.",3,6 4 3,green peach blue,large small medium
sample_00398.png,There is one small white die showing five.,1,5,white,small
sample_00399.png,The scene contains a medium peach die showing four and a small white die showing three.,2,4 3,peach white,medium small
sample_00401.png,"There are a medium yellow die showing two, a large green die showing one and a large red die showing one in the scene.",3,2 1 1,yellow green red,medium large large
sample_00404.png,"There are a large red die showing six, a small yellow die showing three and a large peach die showing five in the scene.",3,6 3 5,red yellow peach,large small large
sample_00405.png,"The scene contains a small red die showing five, a medium purple die showing four and a large white die showing six.",3,5 4 6,red purple white,small medium large
sample_00406.png,"The scene contains a large purple die showing one, a large purple die showing two and a large peach die showing three.",3,1 2 3,purple purple peach,large large large
sample_00407.png,There are a small red die showing five and a medium peach die showing two in the scene.,2,5 2,red peach,small medium
sample_00408.png,This picture contains a small green die showing four and a small purple die showing three.,2,4 3,green purple,small small
sample_00410.png,"There are a small yellow die showing four, a medium red die showing five and a small yellow die showing six in the scene.",3,4 5 6,yellow red yellow,small medium small
sample_00411.png,The image shows one large yellow die with value one.,1,1,yellow,large
sample_00412.png,A medium red die is shown with a value of two.,1,2,red,medium
sample_00414.png,"The image shows a large purple die showing one, a large blue die showing five and a large yellow die showing two.",3,1 5 2,purple blue yellow,large large large
sample_00415.png,"The scene contains a medium white die showing five, a large blue die showing three and a medium green die showing two.",3,5 3 2,white blue green,medium large medium
sample_00418.png,The image shows a large peach die showing five and a medium purple die showing five.,2,5 5,peach purple,large medium
sample_00421.png,There are a large blue die showing two and a medium blue die showing three in the scene.,2,2 3,blue blue,large medium
