gold,decoded
The scene contains a large yellow die showing four and a large purple die showing five.,There are two dice: a large purple die showing five and a large yellow die showing five.
This picture contains a medium white die showing six and a small purple die showing six.,There are two dice: a medium purple die showing six and a medium white die showing six.
The image shows a large red die showing three and a small red die showing six.,There are two dice large red dice showing three and six.
There is one medium green die showing two.,There is one medium green die showing two.
This picture contains a medium red die displaying three.,There is one medium red die showing three.
The image shows a small white die showing five and a large purple die showing three.,There are two dice large purple dice showing three and three.
"The image shows a large white die showing six, a medium peach die showing one and a large peach die showing five.","There are three dice large peach dice showing six, one and one."
This picture contains a small white die showing two and a large yellow die showing three.,There are two dice medium yellow dice showing three and three.
A medium purple die is shown with a value of three.,There is one medium purple die showing three.
A small peach die is shown with a value of four.,There is one small peach die showing four.
The image shows a medium purple die showing five and a medium red die showing four.,There are two dice medium purple dice showing five and four.
This picture contains a small yellow die showing one and a large yellow die showing three.,There are two dice: a small yellow die showing one and a large yellow die showing one.
This picture contains a large purple die showing one and a small purple die showing three.,There are two dice: a large purple die showing one and a small purple die showing one.
The image shows one large white die with value three.,There is one large white die showing three.
"This picture contains a small red die showing one, a medium white die showing six and a small red die showing one.","There are three dice: a small red die showing one, a medium red die showing one and a medium red die showing one."
There is one medium red die showing four.,There is one medium red die showing four.
The scene contains a large red die showing three and a large white die showing three.,There are two dice: a large white die showing three and a large red die showing three.
"This picture contains a large blue die showing three, a large blue die showing six and a medium white die showing five.","There are three dice large blue dice showing three, five and six."
There is one small white die showing one.,There is one medium white die showing one.
"There are a small blue die showing three, a large peach die showing three and a medium purple die showing five in the scene.","There are three dice: a large purple die showing three, a large blue die showing three and a large peach die showing three."
"The image shows a medium peach die showing six, a small red die showing three and a medium green die showing three.","There are three dice: a medium green die showing three, a medium red die showing three and a medium peach die showing six."
"There are a large blue die showing five, a medium blue die showing five and a small red die showing four in the scene.","There are three dice large blue dice showing five, five and five."
A medium blue die is shown with a value of six.,There is one medium blue die showing six.
The scene contains a small red die showing one and a medium blue die showing four.,There are two dice: a small red die showing one and a large blue die showing one.
The image shows a large yellow die showing two and a medium green die showing five.,There are two dice: a large green die showing five and a small green die showing five.
There is one large blue die showing four.,There is one large blue die showing four.
There are a medium red die showing six and a small red die showing three in the scene.,There are two dice medium red dice showing three and six.
This picture contains a large white die displaying five.,There is one large white die showing five.
The image shows a medium red die showing four and a large red die showing four.,There are two dice: a large red die showing four and a medium red die showing four.
The scene contains a medium green die showing one and a small green die showing five.,There are two dice: a medium green die showing five and a small green die showing five.
The image shows a medium peach die showing three and a large yellow die showing four.,There are two dice: a large yellow die showing four and a large peach die showing four.
"The scene contains a medium red die showing four, a small white die showing two and a large blue die showing three.","There are three dice: a medium red die showing four, a large blue die showing three and a large blue die showing three."
The image shows a medium yellow die showing six and a small red die showing two.,There are two dice: a medium yellow die showing six and a medium red die showing two.
The image shows one medium red die with value six.,There is one large red die showing six.
The scene contains a medium blue die showing six and a small yellow die showing one.,There are two dice: a small blue die showing six and a medium yellow die showing six.
"The image shows a small red die showing one, a small red die showing one and a small purple die showing six.","There are three dice small red dice showing one, one and one."
"The image shows a large purple die showing two, a large peach die showing six and a medium yellow die showing four.","There are three dice: a large purple die showing six, a large purple die showing two and a large peach die showing four."
There is one medium green die showing two.,There is one medium green die showing two.
There is one large red die showing three.,There is one large red die showing three.
The scene contains a large blue die showing one and a small white die showing two.,There are two dice: a medium white die showing two and a medium blue die showing one.
"This picture contains a medium red die showing six, a small yellow die showing three and a large green die showing six.","There are three dice: a small yellow die showing six, a large red die showing six and a large yellow die showing six."
There are a small green die showing three and a medium peach die showing one in the scene.,There are two dice: a medium peach die showing one and a medium green die showing three.
"The image shows a large purple die showing three, a small white die showing five and a small green die showing three.","There are three dice: a large green die showing three, a small green die showing three and a small white die showing three."
A large yellow die is shown with a value of six.,There is one large yellow die showing six.
"The scene contains a large purple die showing six, a medium blue die showing two and a large white die showing four.","There are three dice: a large purple die showing six, a large blue die showing four and a large white die showing four."
The image shows one small blue die with value three.,There is one small blue die showing three.
The image shows one large peach die with value one.,There is one large peach die showing one.
The image shows a medium white die showing four and a large blue die showing four.,There are two dice: a large white die showing four and a large blue die showing four.
"The scene contains a large yellow die showing five, a large purple die showing three and a small green die showing two.","There are three dice: a large green die showing three, a large yellow die showing five and a large green die showing three."
There are a large white die showing three and a medium white die showing three in the scene.,There are two dice large white dice showing three and three.
There is one large peach die showing one.,There is one large peach die showing one.
"There are a small red die showing three, a large peach die showing one and a small green die showing five in the scene.","There are three dice: a small green die showing five, a small red die showing three and a small red die showing five."
The image shows a large red die showing five and a small peach die showing one.,There are two dice large peach dice showing five and one.
This picture contains a medium blue die showing two and a large green die showing six.,There are two dice: a medium green die showing two and a medium blue die showing six.
"There are a large purple die showing four, a small red die showing one and a medium red die showing six in the scene.","There are three dice: a small red die showing six, a large red die showing one and a small red die showing one."
A medium white die is shown with a value of one.,There is one medium white die showing one.
"This picture contains a medium yellow die showing three, a small white die showing five and a medium peach die showing three.","There are three dice: a medium peach die showing three, a medium yellow die showing three and a medium white die showing three."
The scene contains a small red die showing three and a medium purple die showing three.,There are two dice: a small red die showing three and a small purple die showing three.
There are a medium red die showing four and a medium yellow die showing four in the scene.,There are two dice: a medium yellow die showing four and a medium red die showing four.
"There are a large green die showing three, a medium red die showing four and a small peach die showing one in the scene.","There are three dice: a small peach die showing four, a large peach die showing three and a small red die showing one."
The scene contains a medium yellow die showing five and a small green die showing four.,There are two dice: a small green die showing five and a small yellow die showing five.
A medium red die is shown with a value of five.,There is one medium red die showing five.
A small white die is shown with a value of six.,There is one small white die showing six.
There is one small purple die showing three.,There is one medium purple die showing three.
"The image shows a medium green die showing two, a large green die showing four and a large white die showing five.","There are three dice large green dice showing five, four and four."
"This picture contains a large blue die showing six, a large red die showing three and a medium red die showing five.","There are three dice large red dice showing six, six and six."
"The scene contains a medium peach die showing three, a large purple die showing four and a small red die showing three.","There are three dice: a large red die showing three, a large purple die showing three and a large peach die showing three."
This picture contains a large blue die showing two and a small white die showing one.,There are two dice: a small white die showing two and a large blue die showing one.
A large purple die is shown with a value of one.,There is one large purple die showing one.
A small red die is shown with a value of three.,There is one small red die showing three.
"The scene contains a large purple die showing four, a medium yellow die showing six and a medium peach die showing three.","There are three dice: a medium yellow die showing six, a medium yellow die showing three and a medium peach die showing six."
This picture contains a medium yellow die displaying five.,There is one medium yellow die showing five.
The image shows a medium blue die showing six and a large peach die showing six.,There are two dice: a large peach die showing six and a large blue die showing six.
"A scene with 2 large purple dice is shown, displaying two and one.",There are two dice large purple dice showing one and one.
This picture contains a medium red die showing one and a small blue die showing one.,There are two dice: a medium red die showing one and a medium blue die showing one.
A large red die is shown with a value of two.,There is one large red die showing two.
The image shows one medium red die with value four.,There is one medium red die showing four.
The scene contains a medium peach die showing one and a medium white die showing one.,There are two dice: a medium peach die showing one and a medium white die showing one.
This picture contains a small peach die showing three and a medium blue die showing three.,There are two dice small peach dice showing three and three.
"The scene contains a small yellow die showing three, a small white die showing two and a small yellow die showing four.","There are three dice small yellow dice showing three, four and two."
A medium yellow die is shown with a value of three.,There is one medium yellow die showing three.
There is one medium green die showing three.,There is one medium green die showing three.
This picture contains a medium white die showing one and a medium green die showing one.,There are two dice medium green dice showing one and one.
This picture contains a large peach die displaying one.,There is one large peach die showing one.
"The image shows a large purple die showing six, a small peach die showing five and a large blue die showing one.","There are three dice: a large purple die showing six, a large blue die showing six and a large blue die showing one."
This picture contains a medium purple die showing six and a large yellow die showing one.,There are two dice medium yellow dice showing six and one.
A small peach die is shown with a value of one.,There is one small peach die showing one.
The image shows a medium peach die showing three and a small peach die showing two.,There are two dice: a medium peach die showing three and a large peach die showing three.
"There are a medium green die showing two, a medium purple die showing six and a small green die showing two in the scene.","There are three dice: a small green die showing two, a medium green die showing two and a small green die showing two."
This picture contains a small blue die displaying one.,There is one small blue die showing one.
This picture contains a large peach die showing two and a small purple die showing two.,There are two dice: a large purple die showing two and a small peach die showing two.
There are a small red die showing two and a large purple die showing three in the scene.,There are two dice: a large red die showing two and a small purple die showing three.
There is one small peach die showing three.,There is one small peach die showing three.
This picture contains a large peach die showing two and a large purple die showing two.,There are two dice large peach dice showing two and two.
There are a small blue die showing six and a small yellow die showing four in the scene.,There are two dice: a small blue die showing six and a small yellow die showing six.
"This picture contains a small white die showing two, a medium yellow die showing four and a medium white die showing one.","There are three dice: a medium yellow die showing four, a medium white die showing one and a large white die showing one."
This picture contains a large purple die showing six and a large white die showing two.,There are two dice: a large purple die showing six and a large white die showing six.
This picture contains a large peach die displaying one.,There is one large peach die showing one.
"The image shows a small blue die showing four, a large purple die showing five and a small green die showing four.","There are three dice small green dice showing four, four and four."
This picture contains a large white die displaying six.,There is one large white die showing six.
"The image shows a small green die showing five, a medium purple die showing three and a medium green die showing one.","There are three dice medium green dice showing five, one and one."
A small yellow die is shown with a value of six.,There is one small yellow die showing six.
A small purple die is shown with a value of five.,There is one small purple die showing five.
The image shows one medium white die with value four.,There is one medium white die showing four.
"The scene contains a large yellow die showing five, a medium purple die showing six and a medium blue die showing six.","There are three dice: a medium purple die showing six, a medium yellow die showing six and a large yellow die showing six."
There is one medium purple die showing three.,There is one medium purple die showing three.
There is one small blue die showing one.,There is one small blue die showing one.
The image shows one small green die with value five.,There is one small green die showing five.
This picture contains a large yellow die displaying six.,There is one large yellow die showing six.
The image shows one small yellow die with value five.,There is one small yellow die showing five.
"There are a large green die showing three, a medium blue die showing four and a medium purple die showing three in the scene.","There are three dice large green dice showing three, three and three."
A small white die is shown with a value of one.,There is one small white die showing one.
There is one small green die showing one.,There is one small green die showing one.
"The scene contains a small green die showing six, a small yellow die showing five and a medium yellow die showing six.","There are three dice small yellow dice showing six, six and six."
This picture contains 2 medium purple dice displaying three and three.,There are two dice medium purple dice showing three and three.
"This picture contains a medium white die showing three, a large peach die showing six and a large green die showing four.","There are three dice: a large peach die showing six, a large green die showing three and a large white die showing six."
The scene contains a small green die showing two and a large yellow die showing four.,There are two dice: a large yellow die showing four and a small yellow die showing four.
This picture contains a small red die showing three and a medium yellow die showing three.,There are two dice: a small yellow die showing three and a small red die showing three.
A small green die is shown with a value of six.,There is one small green die showing six.
"The image shows a large red die showing two, a small blue die showing one and a small white die showing five.","There are three dice: a small white die showing one, a large blue die showing one and a large red die showing one."
"The image shows a large white die showing four, a medium purple die showing one and a small white die showing six.","There are three dice: a large purple die showing one, a medium white die showing six and a medium white die showing six."
"There are a large peach die showing one, a medium red die showing five and a small peach die showing one in the scene.","There are three dice medium peach dice showing one, one and one."
"The image shows a small blue die showing four, a large red die showing four and a medium purple die showing one.","There are three dice: a medium red die showing four, a medium blue die showing four and a medium blue die showing four."
"The scene contains a large white die showing three, a medium green die showing five and a small purple die showing two.","There are three dice: a large green die showing five, a large green die showing three and a large white die showing five."
"There are a medium red die showing five, a large yellow die showing one and a large red die showing two in the scene.","There are three dice: a large red die showing one, a large yellow die showing one and a large red die showing one."
The scene contains a large red die showing three and a large peach die showing four.,There are two dice large peach dice showing three and three.
The scene contains a small green die showing six and a large purple die showing two.,There are two dice: a large green die showing two and a small purple die showing six.
The image shows a medium blue die showing one and a large purple die showing three.,There are two dice: a large purple die showing three and a large blue die showing one.
There is one small yellow die showing five.,There is one small yellow die showing five.
"This picture contains a large red die showing three, a small purple die showing five and a large peach die showing four.","There are three dice: a large purple die showing four, a large purple die showing five and a large peach die showing five."
"The image shows a large blue die showing six, a medium red die showing three and a medium peach die showing five.","There are three dice: a large peach die showing six, a large blue die showing three and a medium peach die showing six."
"There are a large peach die showing six, a medium blue die showing two and a large peach die showing one in the scene.","There are three dice large peach dice showing six, six and one."
"There are a medium white die showing five, a medium green die showing two and a medium yellow die showing five in the scene.","There are three dice: a medium green die showing five, a medium yellow die showing five and a small yellow die showing five."
The image shows a large red die showing four and a large white die showing two.,There are two dice: a large red die showing four and a large white die showing two.
There is one small white die showing one.,There is one small white die showing one.
A large red die is shown with a value of six.,There is one large red die showing six.
There are 2 medium green dice showing four and four.,There are two dice medium green dice showing four and four.
The image shows 2 small red dice with values five and one.,There are two dice small red dice showing five and one.
"This picture contains a small peach die showing two, a large red die showing two and a large white die showing five.","There are three dice: a large red die showing two, a large peach die showing two and a large red die showing two."
There is one small white die showing one.,There is one small white die showing one.
This picture contains a large blue die showing five and a small red die showing one.,There are two dice large blue dice showing five and one.
The scene contains a medium purple die showing four and a large green die showing three.,There are two dice large green dice showing three and three.
The image shows one small green die with value two.,There is one small green die showing two.
This picture contains a small purple die showing six and a medium purple die showing five.,There are two dice medium purple dice showing five and six.
The scene contains a small white die showing two and a medium purple die showing four.,There are two dice medium white dice showing two and four.
There are a medium peach die showing three and a large white die showing four in the scene.,There are two dice: a large peach die showing three and a large white die showing three.
"There are a medium yellow die showing two, a small yellow die showing three and a small yellow die showing four in the scene.","There are three dice: a medium yellow die showing three, a small yellow die showing four and a small yellow die showing four."
This picture contains a small peach die showing four and a medium red die showing five.,There are two dice medium peach dice showing five and five.
The image shows one medium red die with value one.,There is one medium red die showing one.
"There are a small blue die showing three, a medium purple die showing six and a large red die showing three in the scene.","There are three dice: a large red die showing three, a large blue die showing three and a large blue die showing three."
There is one medium white die showing five.,There is one medium white die showing five.
The image shows one medium yellow die with value five.,There is one medium yellow die showing five.
This picture contains a small blue die showing one and a small green die showing five.,There are two dice: a small blue die showing one and a small green die showing five.
The image shows one medium blue die with value three.,There is one medium blue die showing three.
A large yellow die is shown with a value of four.,There is one large yellow die showing four.
The image shows a large peach die showing one and a medium peach die showing three.,There are two dice: a small peach die showing three and a large peach die showing one.
The scene contains a medium purple die showing three and a small blue die showing two.,There are two dice small purple dice showing two and three.
"The scene contains a medium peach die showing three, a large green die showing three and a medium red die showing six.","There are three dice: a medium green die showing three, a medium red die showing three and a medium peach die showing three."
"There are a medium white die showing six, a large yellow die showing three and a small blue die showing six in the scene.","There are three dice: a medium yellow die showing six, a medium blue die showing six and a small white die showing six."
The image shows one small blue die with value one.,There is one small blue die showing one.
A large white die is shown with a value of two.,There is one large white die showing two.
This picture contains a small purple die displaying one.,There is one small purple die showing one.
The image shows one small peach die with value two.,There is one small peach die showing two.
There are a medium peach die showing six and a small purple die showing one in the scene.,There are two dice medium peach dice showing one and six.
There are a small white die showing four and a large purple die showing five in the scene.,There are two dice: a small white die showing five and a large white die showing five.
This picture contains a medium peach die showing four and a small green die showing four.,There are two dice: a small peach die showing four and a small green die showing four.
There are a small purple die showing four and a medium white die showing three in the scene.,There are two dice: a medium white die showing four and a medium purple die showing four.
The image shows one small yellow die with value five.,There is one small yellow die showing five.
There is one large peach die showing five.,There is one large peach die showing five.
A large peach die is shown with a value of four.,There is one large peach die showing four.
"The scene contains a large blue die showing two, a small white die showing five and a medium peach die showing three.","There are three dice: a large peach die showing two, a large white die showing two and a large white die showing five."
This picture contains a small blue die showing four and a medium purple die showing three.,There are two dice small blue dice showing three and three.
A large blue die is shown with a value of four.,There is one large blue die showing four.
The scene contains a medium peach die showing six and a medium green die showing one.,There are two dice: a medium peach die showing one and a medium green die showing six.
"This picture contains a small yellow die showing three, a medium purple die showing six and a small green die showing three.","There are three dice: a medium yellow die showing three, a small yellow die showing three and a small purple die showing six."
The image shows a medium blue die showing five and a large blue die showing one.,There are two dice large blue dice showing five and one.
"The scene contains a large white die showing five, a large red die showing one and a medium peach die showing two.","There are three dice: a large white die showing one, a large peach die showing one and a large peach die showing two."
"The scene contains a large purple die showing three, a small purple die showing three and a small peach die showing one.","There are three dice: a large purple die showing three, a large purple die showing three and a small purple die showing three."
"The image shows a medium blue die showing three, a large white die showing two and a large blue die showing four.","There are three dice large blue dice showing four, three and three."
This picture contains a small green die showing three and a large red die showing four.,There are two dice: a small red die showing three and a small green die showing three.
A medium red die is shown with a value of one.,There is one medium red die showing one.
There are a medium green die showing one and a small peach die showing one in the scene.,There are two dice: a small peach die showing one and a small green die showing one.
The scene contains a large green die showing six and a small green die showing two.,There are two dice small green dice showing six and six.
This picture contains a large purple die showing one and a medium purple die showing six.,There are two dice large purple dice showing six and six.
The image shows one medium yellow die with value six.,There is one medium yellow die showing six.
There is one small yellow die showing five.,There is one small yellow die showing five.
There is one medium peach die showing three.,There is one medium peach die showing three.
The scene contains a small purple die showing four and a small white die showing five.,There are two dice small purple dice showing five and five.
There is one small white die showing five.,There is one small white die showing five.
The image shows a medium yellow die showing five and a small white die showing three.,There are two dice: a medium yellow die showing five and a small yellow die showing five.
There is one medium blue die showing four.,There is one medium blue die showing four.
"This picture contains a small blue die showing six, a medium blue die showing one and a large white die showing one.","There are three dice: a large blue die showing one, a large blue die showing one and a medium blue die showing one."
"The image shows a small peach die showing five, a medium green die showing two and a large white die showing four.","There are three dice large white dice showing four, five and five."
This picture contains a medium blue die displaying two.,There is one large blue die showing two.
A medium white die is shown with a value of six.,There is one medium white die showing six.
"The scene contains a medium peach die showing five, a small purple die showing six and a medium peach die showing six.","There are three dice medium peach dice showing six, six and six."
There is one small white die showing two.,There is one small white die showing two.
The scene contains a medium white die showing two and a medium green die showing two.,There are two dice medium green dice showing two and two.
The image shows one large blue die with value four.,There is one large blue die showing four.
The image shows one small yellow die with value five.,There is one small yellow die showing five.
"This picture contains a medium blue die showing five, a large blue die showing one and a large peach die showing three.","There are three dice: a medium peach die showing one, a large blue die showing one and a large blue die showing one."
There are a medium peach die showing five and a medium yellow die showing one in the scene.,There are two dice: a medium peach die showing one and a medium yellow die showing five.
This picture contains a large white die displaying two.,There is one large white die showing two.
A large purple die is shown with a value of four.,There is one large purple die showing four.
The image shows one small peach die with value one.,There is one small peach die showing one.
There is one small yellow die showing five.,There is one small yellow die showing five.
This picture contains a medium green die displaying six.,There is one medium green die showing six.
This picture contains 2 small purple dice displaying three and two.,There are two dice small purple dice showing two and three.
This picture contains a small purple die showing three and a medium white die showing three.,There are two dice: a medium white die showing three and a medium purple die showing three.
The image shows one large green die with value two.,There is one large green die showing two.
The image shows one small red die with value four.,There is one small red die showing four.
"There are a large blue die showing five, a small yellow die showing six and a medium white die showing two in the scene.","There are three dice: a large blue die showing six, a large blue die showing two and a large white die showing six."
"There are a medium green die showing six, a medium peach die showing five and a large yellow die showing two in the scene.","There are three dice: a large peach die showing six, a large yellow die showing five and a large yellow die showing five."
There are a medium blue die showing two and a large white die showing four in the scene.,There are two dice large blue dice showing two and four.
The image shows one large purple die with value two.,There is one large purple die showing two.
"There are a medium blue die showing three, a medium yellow die showing three and a large purple die showing five in the scene.","There are three dice: a medium purple die showing three, a medium blue die showing three and a medium purple die showing three."
The scene contains a large yellow die showing two and a medium green die showing three.,There are two dice: a large green die showing three and a large yellow die showing two.
There is one large purple die showing four.,There is one large purple die showing four.
"The scene contains a small peach die showing four, a small blue die showing four and a medium blue die showing two.","There are three dice small blue dice showing four, four and four."
The image shows one large yellow die with value four.,There is one large yellow die showing four.
"There are a large purple die showing six, a large yellow die showing two and a large green die showing two in the scene.","There are three dice: a large purple die showing two, a large purple die showing two and a large green die showing two."
"This picture contains a large peach die showing three, a large yellow die showing one and a small yellow die showing one.","There are three dice large yellow dice showing one, one and one."
"The image shows a small yellow die showing two, a medium white die showing four and a large red die showing one.","There are three dice: a small yellow die showing one, a small yellow die showing one and a small red die showing one."
"This picture contains a medium red die showing five, a medium yellow die showing four and a small purple die showing one.","There are three dice: a medium yellow die showing four, a medium red die showing one and a medium red die showing one."
The image shows one medium peach die with value four.,There is one medium peach die showing four.
This picture contains a small red die showing four and a medium green die showing two.,There are two dice: a small red die showing four and a medium green die showing four.
A large red die is shown with a value of five.,There is one large red die showing five.
There is one medium green die showing four.,There is one medium green die showing four.
There is one medium peach die showing one.,There is one medium peach die showing one.
This picture contains a large peach die showing two and a small green die showing four.,There are two dice: a large peach die showing two and a large green die showing four.
"The image shows a large yellow die showing one, a large yellow die showing five and a medium white die showing three.","There are three dice large yellow dice showing five, one and five."
This picture contains a medium purple die showing six and a medium blue die showing one.,There are two dice: a medium purple die showing six and a medium blue die showing six.
There are a small white die showing five and a small blue die showing six in the scene.,There are two dice small blue dice showing six and six.
This picture contains a medium blue die displaying five.,There is one medium blue die showing five.
"The image shows a medium blue die showing one, a small purple die showing three and a large peach die showing four.","There are three dice: a medium purple die showing one, a large blue die showing four and a large blue die showing one."
The image shows one small red die with value three.,There is one small red die showing three.
The image shows one small red die with value five.,There is one small red die showing five.
The image shows a large yellow die showing five and a medium purple die showing four.,There are two dice large yellow dice showing five and five.
This picture contains 2 small yellow dice displaying three and one.,There are two dice small yellow dice showing one and one.
"The scene contains a small blue die showing five, a large blue die showing five and a small yellow die showing four.","There are three dice: a small blue die showing five, a small blue die showing five and a large blue die showing five."
There are a large blue die showing one and a large white die showing one in the scene.,There are two dice large blue dice showing one and one.
There is one small green die showing two.,There is one small green die showing two.
The scene contains a medium white die showing one and a large white die showing one.,There are two dice medium white dice showing one and one.
There is one small red die showing six.,There is one small red die showing six.
There are a medium green die showing five and a medium purple die showing three in the scene.,There are two dice: a medium purple die showing five and a medium green die showing three.
There are a small blue die showing one and a small white die showing one in the scene.,There are two dice small blue dice showing one and one.
There are a large peach die showing two and a medium white die showing two in the scene.,There are two dice: a large white die showing two and a large peach die showing two.
A small white die is shown with a value of four.,There is one small white die showing four.
"The image shows a large red die showing four, a small peach die showing six and a medium yellow die showing five.","There are three dice: a small yellow die showing five, a small yellow die showing five and a small peach die showing five."
The image shows one small blue die with value three.,There is one small blue die showing three.
"The scene contains a large red die showing five, a large white die showing three and a medium red die showing six.","There are three dice large red dice showing three, five and five."
There is one large green die showing six.,There is one large green die showing six.
The scene contains a small red die showing two and a small green die showing two.,There are two dice: a small red die showing two and a medium red die showing two.
The scene contains a large purple die showing six and a large red die showing three.,There are two dice large purple dice showing six and six.
The image shows a small peach die showing four and a large red die showing five.,There are two dice: a large red die showing five and a large peach die showing five.
There is one medium peach die showing five.,There is one medium peach die showing five.
The image shows one large blue die with value four.,There is one large blue die showing four.
This picture contains a medium red die showing six and a medium white die showing four.,There are two dice medium red dice showing six and four.
"The scene contains a medium blue die showing five, a medium yellow die showing two and a medium peach die showing six.","There are three dice: a medium peach die showing six, a medium yellow die showing six and a medium yellow die showing six."
The scene contains a medium peach die showing four and a large red die showing six.,There are two dice: a large red die showing six and a large peach die showing four.
The image shows one small yellow die with value four.,There is one small yellow die showing four.
"The image shows a small white die showing two, a medium peach die showing five and a medium green die showing three.","There are three dice: a small peach die showing five, a medium peach die showing three and a small peach die showing five."
"There are a small white die showing one, a small blue die showing one and a small green die showing one in the scene.","There are three dice small green dice showing one, one and one."
"The image shows a large blue die showing six, a large peach die showing five and a medium green die showing five.","There are three dice: a large peach die showing six, a large blue die showing five and a large peach die showing five."
This picture contains a medium peach die displaying one.,There is one medium peach die showing one.
The scene contains a medium white die showing five and a large peach die showing four.,There are two dice: a medium peach die showing four and a large peach die showing five.
"The scene contains a medium red die showing three, a small peach die showing four and a medium white die showing two.","There are three dice: a medium white die showing four, a medium red die showing three and a medium peach die showing four."
"The scene contains a small peach die showing five, a large green die showing five and a large yellow die showing six.","There are three dice: a large peach die showing five, a large green die showing five and a small peach die showing five."
This picture contains a small white die displaying four.,There is one small white die showing four.
This picture contains a small purple die showing two and a large red die showing six.,There are two dice: a large purple die showing six and a small purple die showing two.
There is one small purple die showing four.,There is one small purple die showing four.
"The image shows a small red die showing five, a small green die showing four and a large yellow die showing one.","There are three dice: a small green die showing five, a small green die showing one and a large red die showing one."
The image shows a small white die showing six and a medium white die showing one.,There are two dice small white dice showing six and six.
There is one small white die showing one.,There is one small white die showing one.
"This picture contains a small white die showing six, a small green die showing five and a medium yellow die showing four.","There are three dice: a medium yellow die showing four, a medium green die showing six and a small yellow die showing six."
The image shows one small red die with value six.,There is one small red die showing six.
The image shows a large yellow die showing one and a large peach die showing three.,There are two dice: a large yellow die showing one and a large peach die showing three.
There are a large white die showing six and a small blue die showing one in the scene.,There are two dice large blue dice showing six and six.
This picture contains a medium blue die displaying one.,There is one medium blue die showing one.
"The scene contains a small white die showing six, a large white die showing two and a small blue die showing one.","There are three dice: a small white die showing six, a large white die showing six and a small white die showing six."
"There are a small white die showing two, a small red die showing six and a medium blue die showing five in the scene.","There are three dice: a small blue die showing six, a medium red die showing six and a medium red die showing six."
There are a large yellow die showing two and a large blue die showing five in the scene.,There are two dice: a large yellow die showing two and a large blue die showing five.
"The scene contains a medium white die showing two, a small red die showing two and a medium purple die showing six.","There are three dice: a medium white die showing two, a medium red die showing two and a medium white die showing two."
"This picture contains a medium purple die showing two, a medium peach die showing four and a large blue die showing five.","There are three dice: a medium peach die showing four, a medium peach die showing four and a large peach die showing five."
A large green die is shown with a value of three.,There is one large green die showing three.
This picture contains a small green die displaying one.,There is one small green die showing one.
This picture contains a large green die displaying four.,There is one large green die showing four.
This picture contains a medium peach die displaying six.,There is one medium peach die showing six.
"A scene with 2 large yellow dice is shown, displaying three and one.",There are two dice large yellow dice showing one and one.
"There are a small red die showing five, a large red die showing four and a large yellow die showing two in the scene.","There are three dice: a large red die showing two, a large yellow die showing four and a large red die showing five."
"The scene contains a large peach die showing one, a large green die showing four and a large blue die showing one.","There are three dice: a large green die showing one, a large green die showing one and a large blue die showing one."
There are a small red die showing three and a large yellow die showing one in the scene.,There are two dice small yellow dice showing three and one.
"There are a large white die showing five, a medium white die showing four and a medium purple die showing six in the scene.","There are three dice medium white dice showing five, five and six."
"There are a small green die showing three, a large red die showing two and a small peach die showing one in the scene.","There are three dice: a small peach die showing three, a small green die showing three and a small green die showing three."
"The image shows a medium peach die showing one, a medium white die showing three and a small peach die showing two.","There are three dice medium peach dice showing one, one and three."
